name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	clinic_url
ウイメンズクリニック大泉学園	東京都練馬区東大泉1-27-19アラウダ大泉ビル	東京都	0359351010	True	True	True	True	True	True	False	False	0	0	0	0	
東京慈恵会医科大学附属病院	東京都港区西新橋３丁目１９－１８	東京都	0334331111	True	True	True	True	True	True	False	False	198	78	52	26	https://www.hosp.jikei.ac.jp/
正裕会　井上レディースクリニック	東京都立川市富士見町1-26-9	東京都	0425262393	True	True	True	True	True	True	False	False	94	48	0	0	http://info@inoue-ladies.jp
帝京大学医学部附属病院	東京都板橋区加賀２丁目１１－１	東京都	0339641211	True	True	True	True	True	True	True	True	0	0	0	0	
杉山産婦人科新宿	東京都新宿区西新宿1-19-6　山手新宿ビル1Fから4F	東京都	0353813000	True	True	True	True	True	True	True	True	3944	1623	0	0	https://www.sugiyama.or.jp/shinjuku/
田園都市レディースクリニック二子玉川	東京都世田谷区玉川2-24-24　セゾン玉川５階	東京都	0337072455	True	True	True	True	True	True	False	False	74	33	20	27	https://www.denentoshi-lady.com/futagotamagawa/
Shinjuku ART Clinic	東京都新宿区西新宿住友不動産新宿オークタワー３階	東京都	0353245577	True	True	True	True	True	True	False	False	251	127	103	41	https://www.shinjukuart.com
医療法人社団　愛慈会　松本レディースリプロダクションオフィス	東京都豊島区東池袋1-41-7池袋東口ビル7F	東京都	0369072555	True	True	True	True	True	True	True	True	549	289	169	31	http://matsumoto-ladies.com
東邦大学医療センター大森病院	東京都大田区大森西６丁目１１－１	東京都	0337624151	True	True	True	True	True	True	True	True	0	0	0	0	
幸町IVFクリニック	東京都府中市府中町1-18-17　コンテント府中1階、2階	東京都	0423650341	True	True	True	True	True	True	False	False	188	39	30	25	https://www.saiwaicho.com
