name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	clinic_url
小塙医院	茨城県小美玉市田木谷169-3	茨城県	0299583185	True	True	True	True	True	True	False	False	0	0	0	0	https://www.ivf-ibaraki.or.jp/
医療法人社団いちご会　美加レディースクリニック	北海道札幌市豊平区平岸三条13丁目5-21	北海道	0118337773	True	True	True	True	True	True	False	False	0	0	0	0	http://mikalady.jp
医療法人社団さっぽろARTクリニック	北海道札幌市北区北七条西４丁目１－２KDX札幌ビル４階	北海道	0117005880	True	True	True	True	True	True	False	False	0	0	0	0	https://sapporoart.jp/
おびひろARTクリニック	北海道帯広市東三条南9丁目3番地	北海道	0155671162	True	True	True	True	True	True	False	False	0	0	0	0	https://obihiro-art.jp/
旭川医科大学病院	北海道旭川市緑が丘東二条１丁目１番１号	北海道	0166652111	True	True	True	True	False	True	True	True	0	0	0	0	https://www.asahikawa-med.ac.jp/hospital/
医療法人社団卵会　とまこまいレディースクリニック	北海道苫小牧市弥生町2-12-5	北海道	0144735353	True	True	True	True	False	True	False	False	29	14	8	28	https://tomakomai-ladies.net/
社会医療法人社団カレスサッポロ　時計台記念病院	北海道札幌市中央区北一条東1丁目2-3	北海道	0112511221	True	True	True	True	False	True	False	False	6	1	1	17	https://www.tokeidaihosp.or.jp/
KKR札幌医療センター	北海道札幌市豊平区平岸一条6丁目3-40	北海道	0118221811	True	True	True	True	True	True	False	False	7	4	2	29	https://smc.kkr.or.jp/
北海道大学病院	北海道札幌市北区北十四条西５丁目	北海道	0117065941	True	True	True	True	True	True	False	False	0	0	0	0	
医療法人社団 みずうち産科婦人科	北海道旭川市豊岡４条３丁目２−５	北海道	0166316713	True	True	True	True	True	True	False	False	0	0	0	0	https://www.mizuuchi.or.jp
弘前大学医学部附属病院	青森県弘前市大字本町５３	青森県	0172335111	True	True	True	True	True	True	True	False	0	0	0	0	https://www.med.hirosaki-u.ac.jp/hospital/index.html
婦人科さかもとともみクリニック	青森県弘前市早稲田3丁目20-6	青森県	0172295080	True	True	True	True	True	True	False	False	0	0	0	0	http://www.sakamoto-t-clinic.jp/
エフ.クリニック	青森県青森市浜田3-3-7	青森県	0177294103	True	True	True	True	True	True	False	False	236	102	81	34	https://www.efclinic.com
